Organization,State,Categories,Contact
Centre For Wildlife Studies,madhya pradesh,"Agriculture, Education, Environment, Livelihood",Tel:  9900902041 Email:  krithi.karanth@cwsindia.org Website:  https://cwsindia.org/
Centre For Wildlife Studies,maharashtra,"Agriculture, Education, Environment, Livelihood",Tel:  9900902041 Email:  krithi.karanth@cwsindia.org Website:  https://cwsindia.org/
Centre For Youth Development And Activities,chhattisgarh,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Centre For Youth Development And Activities,kerala,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Centre For Youth Development And Activities,madhya pradesh,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Centre For Youth Development And Activities,maharashtra,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Centre For Youth Development And Activities,telangana,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Centre For Youth Development And Activities,tripura,"Disaster Prevention, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9179084484 Email:  secretary.cyda@gmail.com Website:  http://www.cydaindia.org.in/
Chaitanya Jyothi Welfare Society,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment","Tel:  9885307263, 8179053708 Email:  cjws1990@cjws.in Website:  http://cjws.org"
Child Survival India,andhra pradesh,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,chandigarh,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,delhi,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,haryana,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,karnataka,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,maharashtra,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,punjab,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,tamil nadu,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,telangana,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Child Survival India,uttar pradesh,"Disaster Prevention, Education, Health, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9810647807 Email:  info@childsurvival-india.org Website:  http://www.childsurvival-india.org
Computer Shiksha,bihar,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,delhi,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,haryana,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,jharkhand,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,madhya pradesh,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,maharashtra,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,punjab,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,rajasthan,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,tamil nadu,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,uttarakhand,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Computer Shiksha,uttar pradesh,Education,Tel:  9810498433 Email:  rakesh.suri@computershiksha.org Website:  https://www.computershiksha.org
Deepalaya,andhra pradesh,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,delhi,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,haryana,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,kerala,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,maharashtra,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,punjab,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,telangana,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,uttarakhand,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Deepalaya,uttar pradesh,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  01128520347 Email:  support@deepalaya.org Website:  https://www.deepalaya.org/
Development Action For Rural Environment,telangana,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9912103172 Email:  dare.partnerships@gmail.com Website:  http://www.darehydindia.org
Development Focus,chhattisgarh,"Education, Environment, Livelihood, Women Empowerment",Tel:  9844124874 Email:  tpaul@devfocus.in Website:  http://www.devfocus.in
Development Focus,jharkhand,"Education, Environment, Livelihood, Women Empowerment",Tel:  9844124874 Email:  tpaul@devfocus.in Website:  http://www.devfocus.in
Development Focus,karnataka,"Education, Environment, Livelihood, Women Empowerment",Tel:  9844124874 Email:  tpaul@devfocus.in Website:  http://www.devfocus.in
Development Focus,mizoram,"Education, Environment, Livelihood, Women Empowerment",Tel:  9844124874 Email:  tpaul@devfocus.in Website:  http://www.devfocus.in
Development Focus,odisha,"Education, Environment, Livelihood, Women Empowerment",Tel:  9844124874 Email:  tpaul@devfocus.in Website:  http://www.devfocus.in
Dhriiti - The Courage Within,arunachal pradesh,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,assam,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,delhi,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,maharashtra,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,manipur,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,meghalaya,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,mizoram,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,nagaland,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,odisha,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,sikkim,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Dhriiti - The Courage Within,tripura,"Education, Environment, Forestry, Livelihood, Rural Development, Women Empowerment",Tel:  9810114843 Email:  info@dhriiti.com Website:  http://www.dhriiti.com
Don Bosco Society Azara,assam,"Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9435544994 Email:  MAVELY@OUTLOOK.COM Website:  HTTP://WWW.DBUNIVERSITY.AC.IN
Don Bosco Society Azara,meghalaya,"Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9435544994 Email:  MAVELY@OUTLOOK.COM Website:  HTTP://WWW.DBUNIVERSITY.AC.IN
Economic Rural Development Society,west bengal,"Disaster Prevention, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9831654430 Email:  erdskol@gmail.com Website:  http://www.erds.in 
Educational And Development Initiatives,delhi,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818714428 Email:  info@edi.org.in Website:  https://www.edi.org.in/
Educational And Development Initiatives,haryana,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818714428 Email:  info@edi.org.in Website:  https://www.edi.org.in/
Educational And Development Initiatives,maharashtra,"Education, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818714428 Email:  info@edi.org.in Website:  https://www.edi.org.in/
Etasha Society,delhi,"Education, Livelihood, Women Empowerment",Tel:  9810128687 Email:  etasha@etahsasociety.org Website:  https://etashasociety.org/index.html
Etasha Society,haryana,"Education, Livelihood, Women Empowerment",Tel:  9810128687 Email:  etasha@etahsasociety.org Website:  https://etashasociety.org/index.html
Etasha Society,uttar pradesh,"Education, Livelihood, Women Empowerment",Tel:  9810128687 Email:  etasha@etahsasociety.org Website:  https://etashasociety.org/index.html
Faith Outreach,odisha,"Education, Rural Development, Women Empowerment",Tel:  8895628933 Email:  faithoutreach67@gmail.com Website:  http://www.faithoutreach.in
Feminist Approach To Technology Society,bihar,"Education, Women Empowerment",Tel:  9999971179 Email:  fat@fat-net.org Website:  http://www.fat-net.org
Feminist Approach To Technology Society,delhi,"Education, Women Empowerment",Tel:  9999971179 Email:  fat@fat-net.org Website:  http://www.fat-net.org
Feminist Approach To Technology Society,jharkhand,"Education, Women Empowerment",Tel:  9999971179 Email:  fat@fat-net.org Website:  http://www.fat-net.org
Feminist Approach To Technology Society,maharashtra,"Education, Women Empowerment",Tel:  9999971179 Email:  fat@fat-net.org Website:  http://www.fat-net.org
Foundation For Initiatives In Development And Education For All (IDEA),kerala,"Education, Livelihood, Women Empowerment",Tel:  9764081967 Email:  projects@ideafoundation.org.in Website:  https://ideafoundation.org.in/
Foundation For Initiatives In Development And Education For All (IDEA),maharashtra,"Education, Livelihood, Women Empowerment",Tel:  9764081967 Email:  projects@ideafoundation.org.in Website:  https://ideafoundation.org.in/
Foundation For Initiatives In Development And Education For All (IDEA),tamil nadu,"Education, Livelihood, Women Empowerment",Tel:  9764081967 Email:  projects@ideafoundation.org.in Website:  https://ideafoundation.org.in/
Foundation For Rural Recovery And Development,bihar,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811030033 Email:  susan.abraham@forrad.org Website:  http://www.forrad.org
Foundation For Rural Recovery And Development,rajasthan,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9811030033 Email:  susan.abraham@forrad.org Website:  http://www.forrad.org
